Origin,OriginCode,Destination,DestinationCode,Country,FLight_Path,Flight_Time,Departure Date,Return Date,Duration,Stops,Flight_Name,Img_URL,Price,Origin_Loc,Destination_Loc
Karachi,KHI,Dammam,DMM,Pakistan - Saudi Arabia,KHI-DMM,2:15am - 9:00am,5/10/2023,5/10/2023,8h 45m (1 stop),2h 40m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$562 ,"24.8546842, 67.0207055","26.4367824, 50.1039991"
Karachi,KHI,Dammam,DMM,Pakistan - Saudi Arabia,KHI-DMM,2:15am - 11:10am,5/10/2023,5/10/2023,10h 55m (1 stop),4h 40m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$562 ,"24.8546842, 67.0207055","26.4367824, 50.1039991"
Karachi,KHI,Dammam,DMM,Pakistan - Saudi Arabia,KHI-DMM,2:15am - 1:10pm,5/10/2023,5/10/2023,12h 55m (1 stop),6h 40m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$562 ,"24.8546842, 67.0207055","26.4367824, 50.1039991"
Karachi,KHI,Dubai,DXB,Pakistan - United Arab Emirates,KHI-DXB,4:00am - 9:20am,5/10/2023,5/10/2023,6h 20m (1 stop),2h 15m in Abu Dhabi (AUH),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$398 ,"24.8546842, 67.0207055","25.074282349999997, 55.18853865430702"
Karachi,KHI,Dubai,DXB,Pakistan - United Arab Emirates,KHI-DXB,4:00am - 11:25am,5/10/2023,5/10/2023,8h 25m (1 stop),4h 20m in Abu Dhabi (AUH),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$398 ,"24.8546842, 67.0207055","25.074282349999997, 55.18853865430702"
Karachi,KHI,Dubai,DXB,Pakistan - United Arab Emirates,KHI-DXB,4:00am - 4:30pm,5/10/2023,5/10/2023,13h 30m (1 stop),9h 25m in Abu Dhabi (AUH),Flight + Bus,https://a.travel-assets.com/air/airlines/flight_plus_bus_logo_sq.svg,$398 ,"24.8546842, 67.0207055","25.074282349999997, 55.18853865430702"
Karachi,KHI,London,LHR,Pakistan - United Kingdom,KHI-LHR,4:00am - 1:15pm,5/10/2023,5/10/2023,13h 15m (1 stop),3h 5m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$1,082 ","24.8546842, 67.0207055","51.5073359, -0.12765"
Karachi,KHI,London,LHR,Pakistan - United Kingdom,KHI-LHR,10:30am - 6:00pm,5/10/2023,5/10/2023,11h 30m (1 stop),1h 25m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$1,085 ","24.8546842, 67.0207055","51.5073359, -0.12765"
Karachi,KHI,London,LHR,Pakistan - United Kingdom,KHI-LHR,4:00am - 2:10pm,5/10/2023,5/10/2023,14h 10m (1 stop),4h in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$1,085 ","24.8546842, 67.0207055","51.5073359, -0.12765"
Karachi,KHI,Manchester,MAN,Pakistan - United Kingdom,KHI-MAN,12:15pm - 7:15pm,5/10/2023,5/10/2023,11h 0m (1 stop),1h 10m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,151 ","24.8546842, 67.0207055","53.4794892, -2.2451148"
Karachi,KHI,Manchester,MAN,Pakistan - United Kingdom,KHI-MAN,2:45am - 12:00pm,5/10/2023,5/10/2023,13h 15m (1 stop),3h 40m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,151 ","24.8546842, 67.0207055","53.4794892, -2.2451148"
Karachi,KHI,Manchester,MAN,Pakistan - United Kingdom,KHI-MAN,2:45am - 7:15pm,5/10/2023,5/10/2023,20h 30m (1 stop),10h 45m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,151 ","24.8546842, 67.0207055","53.4794892, -2.2451148"
Lahore,LHE,Toronto,YYZ,Pakistan - Canada,LHE-YYZ,4:50am - 2:55pm,5/10/2023,5/10/2023,19h 5m (1 stop),1h 45m in Abu Dhabi (AUH),Etihad Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EY_sq.svg,"$3,038 ","31.5656822, 74.3141829","43.6534733, -79.383961"
Lahore,LHE,Toronto,YYZ,Pakistan - Canada,LHE-YYZ,5:45am - 6:50pm,5/10/2023,5/10/2023,22h 5m (1 stop),5h 5m in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$3,432 ","31.5656822, 74.3141829","43.6534733, -79.383961"
Lahore,LHE,Toronto,YYZ,Pakistan - Canada,LHE-YYZ,3:30am - 7:55pm,5/10/2023,5/10/2023,25h 25m (2 stops),2h 25m in Doha (DOH) � 3h 55m in London (LHR),British Airways � British Airways 6187 and 7003 operated by Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/BA_sq.svg,"$6,451 ","31.5656822, 74.3141829","43.6534733, -79.383961"
Lahore,LHE,Vancouver,YVR,Pakistan - Canada,LHE-YVR,3:30am - 3:39pm,5/10/2023,5/10/2023,24h 9m (2 stops),2h 25m in Doha (DOH) � 2h 10m in Seattle (SEA),Multiple airlines � Alaska Airlines 3317 operated by SKYWEST AIRLINES AS ALASKASKYWEST,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,437 ","31.5656822, 74.3141829","49.2608724, -123.113952"
Lahore,LHE,Vancouver,YVR,Pakistan - Canada,LHE-YVR,3:30am - 5:04pm,5/10/2023,5/10/2023,25h 34m (2 stops),2h 25m in Doha (DOH) � 3h 35m in Seattle (SEA),Multiple airlines � Alaska Airlines 3400 operated by SKYWEST AIRLINES AS ALASKASKYWEST,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,437 ","31.5656822, 74.3141829","49.2608724, -123.113952"
Lahore,LHE,Vancouver,YVR,Pakistan - Canada,LHE-YVR,3:30am - 5:04pm,5/10/2023,5/10/2023,25h 34m (2 stops),2h 25m in Doha (DOH) � 3h 35m in Seattle (SEA),Qatar Airways � Qatar Airways 2099 operated by SKYWEST AIRLINES AS ALASKASKYWEST,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$2,448 ","31.5656822, 74.3141829","49.2608724, -123.113952"
Lahore,LHE,Montreal,YUL,Pakistan - Canada,LHE-YUL,5:45am - 5:40pm,5/10/2023,5/10/2023,20h 55m (1 stop),4h 45m in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$3,300 ","31.5656822, 74.3141829","45.5031824, -73.5698065"
Lahore,LHE,Montreal,YUL,Pakistan - Canada,LHE-YUL,3:30am - 2:00pm,5/10/2023,5/10/2023,19h 30m (1 stop),2h 15m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$4,110 ","31.5656822, 74.3141829","45.5031824, -73.5698065"
Lahore,LHE,Edmonton,YEG,Pakistan - Canada,LHE-YEG,4:50am - 8:40pm,5/10/2023,5/10/2023,26h 50m (2 stops),1h 45m in Abu Dhabi (AUH) � 3h 35m in Toronto (YYZ),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$3,955 ","31.5656822, 74.3141829","53.5462055, -113.491241"
Lahore,LHE,Riyadh,RUH,Pakistan - Saudi Arabia,LHE-RUH,2:35am - 9:50am,5/10/2023,5/10/2023,9h 15m (1 stop),2h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","24.638916, 46.7160104"
Lahore,LHE,Riyadh,RUH,Pakistan - Saudi Arabia,LHE-RUH,2:35am - 10:50am,5/10/2023,5/10/2023,10h 15m (1 stop),3h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","24.638916, 46.7160104"
Lahore,LHE,Riyadh,RUH,Pakistan - Saudi Arabia,LHE-RUH,2:35am - 11:50am,5/10/2023,5/10/2023,11h 15m (1 stop),4h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","24.638916, 46.7160104"
Lahore,LHE,Dammam,DMM,Pakistan - Saudi Arabia,LHE-DMM,2:35am - 11:10am,5/10/2023,5/10/2023,10h 35m (1 stop),3h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","26.4367824, 50.1039991"
Lahore,LHE,Dammam,DMM,Pakistan - Saudi Arabia,LHE-DMM,2:35am - 1:10pm,5/10/2023,5/10/2023,12h 35m (1 stop),5h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","26.4367824, 50.1039991"
Lahore,LHE,Dammam,DMM,Pakistan - Saudi Arabia,LHE-DMM,2:35am - 3:00pm,5/10/2023,5/10/2023,14h 25m (1 stop),7h 15m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$467 ,"31.5656822, 74.3141829","26.4367824, 50.1039991"
Lahore,LHE,Dubai,DXB,Pakistan - United Arab Emirates,LHE-DXB,2:35am - 1:00pm,5/10/2023,5/10/2023,11h 25m (1 stop),3h 5m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$527 ,"31.5656822, 74.3141829","25.074282349999997, 55.18853865430702"
Lahore,LHE,Dubai,DXB,Pakistan - United Arab Emirates,LHE-DXB,2:35am - 4:00pm,5/10/2023,5/10/2023,14h 25m (1 stop),6h 10m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$527 ,"31.5656822, 74.3141829","25.074282349999997, 55.18853865430702"
Lahore,LHE,Dubai,DXB,Pakistan - United Arab Emirates,LHE-DXB,2:35am - 7:30pm,5/10/2023,5/10/2023,17h 55m (1 stop),9h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$527 ,"31.5656822, 74.3141829","25.074282349999997, 55.18853865430702"
Lahore,LHE,London,LHR,Pakistan - United Kingdom,LHE-LHR,2:35am - 2:00pm,5/10/2023,5/10/2023,15h 25m (1 stop),3h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,"$1,020 ","31.5656822, 74.3141829","51.5073359, -0.12765"
Lahore,LHE,London,LHR,Pakistan - United Kingdom,LHE-LHR,9:00am - 6:40pm,5/10/2023,5/10/2023,13h 40m (1 stop),3h in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,145 ","31.5656822, 74.3141829","51.5073359, -0.12765"
Lahore,LHE,London,LHR,Pakistan - United Kingdom,LHE-LHR,9:00am - 8:15pm,5/10/2023,5/10/2023,15h 15m (1 stop),4h 30m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,145 ","31.5656822, 74.3141829","51.5073359, -0.12765"
Lahore,LHE,New York,JFK,Pakistan - United States,LHE-JFK,4:50am - 4:00pm,5/10/2023,5/10/2023,20h 10m (1 stop),2h 35m in Abu Dhabi (AUH),Etihad Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EY_sq.svg,"$1,846 ","31.5656822, 74.3141829","40.7127281, -74.0060152"
Lahore,LHE,New York,JFK,Pakistan - United States,LHE-JFK,3:30am - 2:25pm,5/10/2023,5/10/2023,19h 55m (1 stop),2h 50m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,855 ","31.5656822, 74.3141829","40.7127281, -74.0060152"
Lahore,LHE,New York,JFK,Pakistan - United States,LHE-JFK,3:30am - 6:55pm,5/10/2023,5/10/2023,24h 25m (2 stops),4h 5m in Dubai (DXB) � 1h 50m in Milan (MXP),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,855 ","31.5656822, 74.3141829","40.7127281, -74.0060152"
Lahore,LHE,Chicago,ORD,Pakistan - United States,LHE-ORD,5:35am - 5:50pm,5/10/2023,5/10/2023,22h 15m (1 stop),4h 20m in Istanbul (IST),Pakistan International Airlines � Pakistan International Airlines 5005 operated by Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/PK_sq.svg,"$2,134 ","31.5656822, 74.3141829","41.8755616, -87.6244212"
Lahore,LHE,Chicago,ORD,Pakistan - United States,LHE-ORD,3:30am - 3:00pm,5/10/2023,5/10/2023,21h 30m (1 stop),2h 20m in Doha (DOH),Multiple airlines � American Airlines 8125 operated by Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,227 ","31.5656822, 74.3141829","41.8755616, -87.6244212"
Lahore,LHE,Chicago,ORD,Pakistan - United States,LHE-ORD,3:30am - 3:00pm,5/10/2023,5/10/2023,21h 30m (1 stop),2h 20m in Doha (DOH),Multiple airlines � JetBlue Airways 5561 operated by Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,331 ","31.5656822, 74.3141829","41.8755616, -87.6244212"
